social_support_social_support,generosity_generosity,logged_gdp_per_capita_log_gdp_per_capita,explained_by_freedom_to_make_life_choices_negative_affect,perceptions_of_corruption_perceptions_of_corruption,explained_by_social_support_positive_affect,ladder_score_life_ladder,freedom_to_make_life_choices_freedom_to_make_life_choices,healthy_life_expectancy_healthy_life_expectancy_at_birth
0.608,-0.224,9.144,0.262,0.498,0.441,4.156,0.614,64.960
0.544,-0.233,9.116,0.242,0.535,0.492,3.801,0.495,64.880
0.540,-0.248,9.184,0.243,0.460,0.502,4.102,0.558,64.800
0.503,-0.255,9.263,0.247,0.353,0.515,4.203,0.632,64.860
0.533,-0.269,9.332,0.250,0.321,0.559,4.254,0.659,64.920
0.559,-0.254,9.371,0.200,0.349,0.595,4.349,0.722,64.980
0.558,-0.233,9.414,0.204,0.416,0.570,4.288,0.720,65.040
0.517,-0.205,9.442,0.233,0.502,0.547,4.122,0.640,65.100
0.533,-0.249,9.470,0.223,0.561,0.564,4.448,0.606,64.900
0.590,-0.244,9.517,0.210,0.590,0.581,4.451,0.821,64.700
0.617,-0.233,9.565,0.244,0.755,0.573,4.659,0.775,64.500
0.675,-0.260,9.617,0.244,0.647,0.604,4.892,0.811,64.300
0.718,-0.221,9.569,0.295,0.583,0.611,5.123,0.764,64.100
0.963,,10.689,0.197,0.781,0.776,6.620,0.847,70.200
0.926,0.167,10.759,0.231,0.792,0.732,6.417,0.801,70.480
0.923,,10.770,0.220,0.758,0.787,6.522,0.766,70.620
0.935,0.127,10.714,0.206,0.690,0.792,6.641,0.844,70.760
0.939,0.095,10.756,0.182,0.688,0.794,6.725,0.843,70.900
0.947,0.033,10.813,0.165,0.677,0.794,6.621,0.906,70.980
0.926,0.071,10.816,0.170,0.679,0.804,6.702,0.904,71.060
0.931,0.024,10.817,0.205,0.566,0.743,6.965,0.894,71.140
0.938,0.088,10.835,0.188,0.474,0.785,6.984,0.899,71.220
0.926,0.178,10.844,0.203,0.412,0.765,7.037,0.889,71.300
0.906,0.148,10.858,0.187,0.446,0.738,6.874,0.871,71.600
0.892,0.145,10.878,0.196,0.414,0.737,7.074,0.841,71.900
0.920,0.034,10.890,0.243,0.496,0.780,7.118,0.877,72.200
0.886,0.057,10.893,0.226,0.462,0.751,7.035,0.885,72.500
0.905,-0.060,10.833,0.206,0.424,0.760,7.312,0.864,72.800
0.728,0.213,8.073,0.198,0.814,0.671,4.535,0.849,52.340
0.730,0.138,8.090,0.217,0.771,0.686,5.220,0.891,52.780
0.622,0.120,8.152,0.172,0.863,0.717,4.965,0.838,53.220
0.633,0.005,8.174,0.198,0.890,0.774,4.198,0.757,53.660
0.739,0.074,8.225,0.184,0.875,0.783,4.606,0.891,54.100
0.724,0.011,8.332,0.209,0.790,0.744,5.608,0.852,54.480
0.685,0.040,8.397,0.152,0.898,0.760,5.057,0.679,54.860
0.676,-0.065,8.445,0.211,0.880,0.691,4.965,0.794,55.240
0.651,0.001,8.450,0.280,0.913,0.696,3.860,0.677,55.620
0.687,-0.038,8.449,0.265,0.945,0.690,3.986,0.852,56.000
0.647,0.090,8.460,0.305,0.894,0.668,4.514,0.751,56.400
0.669,0.079,8.517,0.248,0.839,0.703,5.481,0.783,56.800
0.761,0.062,8.555,0.250,0.846,0.747,5.004,0.817,57.200
0.746,0.116,8.596,0.270,0.857,0.682,4.967,0.787,57.600
0.643,0.200,8.590,0.253,0.847,0.713,5.319,0.824,58.000
0.837,,10.462,0.264,0.861,0.692,6.006,0.734,70.500
0.808,-0.190,10.543,0.222,0.845,0.738,6.647,0.575,70.900
0.793,-0.293,10.491,0.254,0.959,0.649,6.039,0.443,71.300
0.868,-0.303,10.433,0.292,0.954,0.634,5.840,0.484,71.500
0.852,-0.316,10.339,0.323,0.941,0.591,5.372,0.528,71.560
0.812,-0.305,10.268,0.352,0.959,0.581,5.096,0.373,71.620
0.687,-0.272,10.243,0.482,0.941,0.689,4.720,0.426,71.680
0.832,-0.288,10.257,0.385,0.930,0.695,4.756,0.369,71.740
0.835,-0.272,10.259,0.277,0.824,0.740,5.623,0.532,71.800
0.803,-0.260,10.261,0.336,0.898,0.701,5.303,0.482,72.000
0.753,-0.290,10.278,0.333,0.872,0.603,5.148,0.438,72.200
0.794,-0.335,10.299,0.255,0.860,0.666,5.409,0.564,72.400
0.891,-0.289,10.319,0.236,0.848,0.668,5.952,0.614,72.600
0.779,-0.241,10.215,0.322,0.764,0.684,5.788,0.565,72.800
0.830,0.172,8.850,0.287,0.706,0.818,5.901,0.663,60.740
0.866,0.136,8.891,0.224,0.810,0.819,6.330,0.628,61.080
0.866,0.206,8.904,0.234,0.796,0.834,6.414,0.630,61.420
0.834,0.197,8.891,0.240,0.755,0.829,6.452,0.643,61.760
0.859,0.166,8.901,0.236,0.795,0.850,6.290,0.696,62.100
0.768,0.009,8.923,0.289,0.863,0.844,5.743,0.763,62.460
0.802,0.020,8.935,0.349,0.821,0.863,5.856,0.865,62.820
0.830,0.045,8.953,0.333,0.817,0.867,5.985,0.884,63.180
0.834,0.108,8.980,0.305,0.804,0.835,6.536,0.843,63.540
0.823,0.051,9.003,0.311,0.822,0.851,6.465,0.869,63.900
0.811,0.011,9.013,0.321,0.812,0.846,6.359,0.863,64.200
0.826,-0.059,9.026,0.308,0.800,0.846,6.325,0.915,64.500
0.841,-0.010,9.042,0.262,0.765,0.871,6.627,0.910,64.800
0.774,-0.062,9.064,0.311,0.773,0.859,6.262,0.901,65.100
0.598,0.041,7.567,0.260,0.743,0.701,4.045,0.797,50.220
0.542,0.001,7.603,0.285,0.794,0.677,3.652,0.646,50.440
0.567,0.091,7.619,0.348,0.815,0.600,3.902,0.693,50.660
0.638,0.006,7.632,0.351,0.705,0.629,3.412,0.684,50.880
0.579,0.007,7.645,0.268,0.762,0.667,3.505,0.666,51.100
0.675,-0.056,7.721,0.374,0.803,0.687,3.603,0.726,52.200
0.634,0.038,7.792,0.422,0.750,0.704,4.874,0.738,53.300
0.630,0.092,7.823,0.440,0.778,0.744,5.252,0.731,54.400
0.655,0.097,7.849,0.473,0.756,0.685,4.768,0.691,55.500
0.849,0.110,8.773,0.296,0.836,0.768,5.993,0.694,57.260
0.694,0.401,7.407,0.332,0.854,0.613,3.754,0.449,48.460
0.679,0.261,7.417,0.256,0.812,0.608,3.846,0.465,40.380
0.554,0.216,7.384,0.293,0.848,0.555,3.766,0.373,32.300
0.567,0.243,7.423,0.245,0.682,0.625,4.845,0.413,36.860
0.749,0.289,7.437,0.284,0.717,0.593,4.413,0.482,41.420
0.648,0.289,7.464,0.327,0.669,0.538,4.622,0.610,45.980
0.554,0.285,7.477,0.327,0.708,0.593,3.889,0.509,50.540
0.564,0.306,7.476,0.333,0.777,0.619,3.570,0.398,55.100
0.584,0.291,7.477,0.367,0.839,0.553,3.352,0.304,55.300
0.647,0.381,7.475,0.322,0.647,0.573,3.824,0.484,55.500
0.538,0.422,7.477,0.359,0.720,0.584,3.615,0.591,55.700
0.933,0.089,8.462,0.155,0.844,0.858,5.397,0.650,64.540
0.819,0.230,8.500,0.199,0.826,0.759,5.097,0.676,64.780
0.828,0.223,8.520,0.206,0.863,0.789,5.420,0.687,65.020
0.824,0.119,8.474,0.261,0.857,0.803,6.033,0.661,65.260
0.803,0.105,8.490,0.260,0.820,0.797,5.866,0.646,65.500
0.766,0.095,8.508,0.307,0.884,0.816,4.961,0.783,65.720
0.779,-0.003,8.530,0.294,0.871,0.847,4.602,0.700,65.940
0.792,-0.027,8.540,0.283,0.868,0.817,4.713,0.698,66.160
0.790,0.015,8.552,0.299,0.834,0.820,5.056,0.696,66.380
0.772,-0.097,8.572,0.311,0.848,0.863,4.845,0.534,66.600
0.774,0.080,8.593,0.297,0.793,0.832,5.648,0.850,66.800
0.843,0.072,8.624,0.248,0.783,0.842,6.020,0.898,67.000
0.827,0.099,8.643,0.287,0.804,0.872,5.908,0.872,67.200
0.797,0.063,8.653,0.279,0.815,0.850,5.930,0.846,67.400
0.812,0.156,10.746,0.236,0.356,0.723,5.511,0.910,
0.840,0.296,10.816,0.237,0.274,0.719,5.137,0.922,
0.835,0.308,10.788,0.210,0.272,0.762,5.397,0.918,
0.857,0.332,10.847,0.183,0.256,0.710,5.643,0.890,
0.846,0.235,10.887,0.196,0.245,0.734,5.474,0.894,
0.826,0.222,10.893,0.183,0.380,0.715,5.484,0.880,
0.834,0.224,10.940,0.243,0.423,0.684,5.458,0.843,
0.832,0.100,10.970,0.213,0.403,0.664,5.498,0.800,
0.831,0.140,11.000,0.201,0.416,0.640,5.362,0.831,
0.856,0.067,11.000,0.358,0.432,0.599,5.659,0.727,
0.813,,,0.210,0.380,0.609,5.295,0.705,
0.930,,10.108,0.290,0.903,0.675,5.194,0.697,64.600
0.931,-0.161,10.153,0.230,0.895,0.701,4.954,0.538,65.000
0.901,-0.125,10.097,0.228,0.915,0.664,4.895,0.464,65.400
0.896,-0.145,10.106,0.235,0.983,0.656,4.725,0.514,65.600
0.894,-0.089,10.127,0.305,0.940,0.642,4.918,0.631,65.760
0.906,-0.136,10.117,0.315,0.930,0.652,4.683,0.569,65.920
0.877,-0.113,10.140,0.307,0.912,0.706,4.914,0.674,66.080
0.845,-0.150,10.183,0.238,0.855,0.651,5.181,0.494,66.240
0.859,-0.198,10.223,0.245,0.908,0.707,5.344,0.558,66.400
0.900,-0.187,10.248,0.243,0.924,0.666,5.449,0.554,66.800
0.877,-0.139,10.293,0.181,0.886,0.735,6.065,0.661,67.200
0.941,-0.243,10.344,0.201,0.911,0.676,5.936,0.693,67.600
0.947,-0.195,10.393,0.180,0.884,0.743,6.000,0.798,68.000
0.943,-0.120,10.335,0.240,0.836,0.735,6.038,0.771,68.400
0.977,0.272,10.861,0.153,0.708,0.880,6.888,0.885,72.320
0.979,0.241,10.777,0.157,0.759,0.900,7.591,0.905,72.760
0.967,0.306,10.809,0.156,0.713,0.870,7.501,0.923,72.840
0.980,0.301,10.854,0.180,0.639,0.849,7.498,0.940,73.000
0.985,0.281,10.904,0.158,0.719,0.874,7.510,0.952,73.000
0.967,0.246,10.925,0.148,0.727,0.895,7.476,0.939,73.000
0.982,,10.931,0.178,0.699,0.836,7.533,0.959,73.000
0.983,0.160,10.824,0.172,0.644,0.863,7.575,0.949,73.000
0.707,,8.145,0.199,0.855,0.687,5.348,0.774,55.720
0.569,-0.051,8.204,0.253,0.862,0.668,5.027,0.729,56.140
0.684,-0.072,8.220,0.259,0.891,0.674,5.146,0.756,56.560
0.653,-0.026,8.281,0.301,0.895,0.771,4.522,0.679,56.980
0.605,0.058,8.349,0.267,0.863,0.697,4.989,0.783,57.400
0.553,-0.038,8.387,0.232,0.908,0.648,4.635,0.838,57.700
0.511,0.067,8.428,0.295,0.830,0.629,4.720,0.609,58.000
0.553,0.084,8.478,0.330,0.832,0.680,4.428,0.740,58.300
0.621,-0.026,8.538,0.285,0.832,0.711,4.424,0.809,58.600
0.610,-0.005,8.604,0.322,0.776,0.701,4.342,0.777,58.900
0.614,0.046,8.673,0.346,0.765,0.695,4.179,0.820,59.300
0.607,-0.042,8.730,0.318,0.781,0.682,4.046,0.886,59.700
0.638,0.085,8.779,0.357,0.805,0.657,3.818,0.890,60.100
0.561,0.112,8.818,0.466,0.752,0.648,3.249,0.876,60.500
0.617,0.075,8.703,0.383,0.780,0.752,4.225,0.906,60.900
0.771,0.347,8.850,0.266,0.915,0.825,4.947,0.713,59.840
0.704,0.311,8.898,0.242,0.960,0.812,5.101,0.603,59.980
0.675,0.164,8.943,0.239,0.968,0.774,4.815,0.596,60.120
0.779,0.191,8.975,0.193,0.911,0.865,5.472,0.784,60.260
0.816,0.448,9.022,0.218,0.954,0.837,5.457,0.700,60.400
0.825,0.438,9.069,0.273,0.962,0.864,5.173,0.878,60.620
0.834,0.354,9.114,0.229,0.962,0.897,5.368,0.770,60.840
0.794,0.376,9.155,0.249,0.973,0.893,5.292,0.781,61.060
0.905,0.408,9.190,0.242,0.970,0.852,5.597,0.719,61.280
0.809,0.471,9.225,0.274,0.946,0.876,5.043,0.779,61.500
0.792,0.500,9.262,0.342,0.890,0.833,5.136,0.830,61.700
0.796,0.488,9.300,0.319,0.900,0.863,5.098,0.865,61.900
0.809,0.512,9.339,0.296,0.868,0.864,5.340,0.879,62.100
0.802,0.555,9.377,0.302,0.861,0.877,5.347,0.866,62.300
0.766,,9.393,0.456,0.636,0.608,5.308,0.651,62.000
0.718,0.056,9.497,0.361,0.872,0.626,5.336,0.533,62.760
0.633,0.052,9.489,0.345,0.868,0.624,5.129,0.601,63.140
0.582,0.200,9.547,0.359,0.665,0.578,4.768,0.798,64.140
0.600,,9.458,0.525,0.678,0.609,4.609,0.764,64.380
0.664,0.216,9.443,0.552,0.685,0.659,5.140,0.730,64.620
0.644,0.241,9.476,0.512,0.640,0.618,4.682,0.767,64.860
0.572,0.176,9.449,0.520,0.699,0.645,4.750,0.780,65.100
0.566,0.186,9.561,0.526,0.713,0.687,4.653,0.773,65.400
0.714,0.218,9.584,0.439,0.715,0.694,4.717,0.731,65.700
0.674,,,0.493,0.703,0.553,4.278,0.603,66.000
0.698,,,0.449,0.728,0.600,5.006,0.623,66.300
0.757,,,0.470,0.710,0.582,4.865,0.600,66.600
0.744,-0.061,9.063,0.448,0.910,0.525,4.590,0.386,58.320
0.862,-0.199,9.076,0.404,0.854,0.523,4.775,0.431,58.960
0.854,-0.125,9.112,0.431,0.859,0.542,5.065,0.419,59.600
0.751,-0.070,9.152,0.557,0.780,0.488,4.725,0.347,59.360
0.730,-0.020,9.246,0.449,0.789,0.423,4.660,0.315,59.120
0.728,-0.050,9.280,0.554,0.710,,4.725,,58.880
0.725,-0.001,9.250,0.564,0.726,0.574,4.542,0.646,58.640
0.684,0.019,9.241,0.581,0.762,0.490,4.493,0.599,58.400
0.719,-0.052,9.354,0.570,0.799,0.489,4.413,0.666,59.000
0.695,0.000,9.303,0.591,0.757,0.505,4.462,0.628,59.600
0.764,-0.068,9.274,0.482,0.887,0.605,4.886,0.598,60.200
0.708,-0.021,9.167,0.532,0.849,0.644,4.785,0.700,61.400
0.967,0.242,10.972,0.209,0.473,0.878,7.144,0.943,70.140
0.983,0.322,10.929,0.148,0.487,0.875,7.568,0.894,70.820
0.959,0.315,10.866,0.233,0.580,0.862,7.046,0.835,71.160
0.973,0.348,10.879,0.201,0.618,0.876,7.257,0.856,71.500
0.977,0.383,10.878,0.190,0.590,0.865,7.007,0.952,71.600
0.962,0.302,10.876,0.237,0.573,0.835,6.965,0.902,71.700
0.955,0.331,10.884,0.245,0.558,0.814,6.760,0.884,71.800
0.968,0.264,10.959,0.229,0.406,0.784,7.018,0.922,71.900
0.953,0.233,11.174,0.225,0.409,0.799,6.830,0.892,72.000
0.958,0.174,11.199,0.211,0.399,0.809,7.041,0.875,72.100
0.943,0.216,11.266,0.213,0.337,0.833,7.060,0.905,72.200
0.938,0.144,11.332,0.213,0.362,0.811,6.962,0.861,72.300
0.944,0.074,11.371,0.223,0.373,0.807,7.255,0.892,72.400
0.960,0.014,11.323,0.246,0.356,0.797,7.035,0.882,72.500
0.927,,10.389,0.308,0.905,0.696,7.173,0.817,71.120
0.868,0.219,10.428,0.320,0.868,0.696,6.841,0.683,71.440
0.859,0.139,10.440,0.349,0.898,0.710,7.261,0.663,71.760
0.937,0.172,10.425,0.327,0.923,0.695,7.353,0.593,72.080
0.882,0.150,10.461,0.362,0.902,0.679,7.359,0.561,72.400
0.893,0.141,10.489,0.384,0.891,0.738,7.433,0.722,72.460
0.903,0.153,10.493,0.319,0.862,0.665,7.111,0.681,72.520
0.909,0.150,10.515,0.409,0.849,0.698,7.321,0.739,72.580
0.889,0.094,10.533,0.271,0.818,0.604,7.401,0.707,72.640
0.864,0.108,10.536,0.256,0.789,0.697,7.079,0.753,72.700
0.890,0.153,10.555,0.263,0.804,0.629,7.159,0.772,72.900
0.916,0.145,10.570,0.276,0.793,0.674,7.331,0.768,73.100
0.910,0.055,10.585,0.282,0.770,0.663,6.927,0.725,73.300
0.946,0.085,10.601,0.266,0.743,0.635,7.332,0.834,73.500
0.959,-0.049,10.538,0.243,0.748,0.621,7.195,0.831,73.700
0.928,,10.703,0.295,0.944,0.679,6.854,0.802,71.900
0.912,0.113,10.727,0.303,0.922,0.716,6.574,0.684,72.260
0.880,0.049,10.711,0.268,0.946,0.637,6.780,0.543,72.440
0.880,0.240,10.652,0.279,0.890,0.775,6.334,0.701,72.620
0.872,-0.060,10.666,0.236,0.921,0.596,6.354,0.738,72.800
0.913,-0.018,10.671,0.266,0.933,0.658,6.057,0.568,72.840
0.869,0.113,10.638,0.388,0.908,0.670,5.839,0.570,72.880
0.916,-0.102,10.608,0.357,0.943,0.779,6.009,0.499,72.920
0.898,-0.065,10.599,0.356,0.920,0.716,6.027,0.624,72.960
0.909,-0.064,10.608,0.329,0.913,0.692,5.848,0.575,73.000
0.927,-0.081,10.622,0.339,0.903,0.685,5.955,0.624,73.200
0.920,-0.035,10.640,0.323,0.867,0.661,6.199,0.633,73.400
0.913,-0.021,10.650,0.403,0.888,0.649,6.517,0.650,73.600
0.838,-0.082,10.655,0.328,0.866,0.631,6.445,0.709,73.800
0.890,-0.150,10.563,0.311,0.844,0.670,6.488,0.718,74.000
0.667,-0.153,8.209,0.186,0.902,0.604,4.197,0.760,45.780
0.709,-0.031,8.274,0.306,0.691,0.743,3.739,0.739,47.100
0.711,-0.080,8.334,0.291,0.671,0.647,3.570,0.781,47.400
0.704,-0.053,8.393,0.347,0.744,0.664,4.445,0.800,47.700
0.617,-0.043,8.437,0.378,0.757,0.704,4.543,0.769,48.300
0.661,-0.111,8.483,0.357,0.771,0.698,5.038,0.732,48.900
0.621,-0.050,8.523,0.386,0.791,0.682,5.268,0.713,49.500
0.679,-0.017,8.564,0.425,0.799,0.674,5.392,0.736,50.100
0.613,0.016,8.565,0.340,0.777,0.693,5.257,0.770,50.700
0.909,-0.004,9.225,0.201,0.946,0.788,6.208,0.738,64.900
0.855,-0.064,9.164,0.237,0.909,0.836,5.374,0.796,66.220
0.865,-0.021,9.151,0.312,0.931,0.734,5.709,0.793,66.460
0.874,-0.001,9.152,0.310,0.861,0.737,5.311,0.809,66.580
0.913,-0.130,9.169,0.243,0.883,0.769,5.890,0.861,67.100
0.878,-0.137,9.186,0.195,0.885,0.752,6.309,0.891,67.500
0.928,,10.529,0.153,0.699,0.739,6.516,0.868,73.200
0.938,-0.090,10.558,0.207,0.809,0.731,6.238,0.796,73.440
0.887,-0.135,10.546,0.191,0.816,0.780,5.911,0.772,73.560
0.888,-0.210,10.491,0.169,0.740,0.785,5.845,0.730,73.680
0.902,-0.140,10.532,0.188,0.770,0.827,6.057,0.772,73.800
0.917,-0.052,10.532,0.181,0.734,0.776,6.263,0.814,73.980
0.905,,10.549,0.171,0.692,0.777,5.968,0.753,74.160
0.924,-0.147,10.570,0.175,0.650,0.794,5.959,0.821,74.340
0.900,-0.139,10.575,0.189,0.617,0.742,5.923,0.838,74.520
0.923,-0.155,10.588,0.176,0.654,0.768,5.880,0.832,74.700
0.900,-0.062,10.595,0.192,0.698,0.760,5.955,0.836,74.800
0.882,-0.206,10.618,0.176,0.659,0.740,5.911,0.849,74.900
0.886,-0.261,10.623,0.185,0.687,0.703,5.794,0.773,75.000
0.878,-0.255,10.632,0.194,0.617,0.743,5.908,0.806,75.100
0.887,-0.259,10.580,0.186,0.609,0.742,6.118,0.806,75.200
0.920,,9.246,0.240,0.670,0.696,6.295,,63.500
0.841,-0.112,9.321,0.240,0.664,0.683,5.598,0.646,63.980
0.766,-0.127,9.343,0.331,0.709,0.669,4.930,,64.220
0.899,-0.075,9.347,0.265,0.739,0.645,6.000,0.771,64.460
0.918,-0.046,9.317,0.343,,0.643,5.570,0.788,64.700
0.878,-0.143,9.289,0.260,,0.612,5.539,0.760,65.000
0.829,-0.160,9.261,0.345,,0.565,5.132,0.693,65.300
0.840,-0.117,9.237,0.286,,0.684,5.172,0.692,65.600
0.816,-0.104,9.222,0.313,,0.660,5.333,0.729,65.900
0.830,-0.046,9.207,0.305,,0.690,5.405,0.767,66.200
0.820,-0.038,9.197,0.312,,0.641,5.271,0.771,66.400
0.815,-0.152,9.194,0.392,,0.628,4.808,0.766,66.600
0.800,-0.186,9.196,,,,4.639,0.762,66.800
0.793,-0.165,9.201,,,,4.453,0.726,67.000
0.709,-0.150,9.150,,,,4.094,0.779,67.200
0.872,-0.274,9.804,0.185,0.865,0.669,5.476,0.731,58.200
0.861,-0.246,9.878,0.179,0.865,0.651,5.719,0.806,58.700
0.839,-0.221,9.898,0.160,0.899,0.675,5.886,0.727,59.200
0.893,-0.249,9.884,0.129,0.845,0.679,5.383,0.856,59.700
0.904,-0.215,9.940,0.149,0.823,0.692,5.514,0.785,60.200
0.905,-0.235,9.997,0.154,0.802,0.695,5.736,0.878,60.720
0.892,-0.171,10.030,0.184,0.877,0.740,5.759,0.840,61.240
0.889,-0.229,10.074,0.164,0.820,0.674,5.835,0.782,61.760
0.795,0.004,10.101,0.169,0.805,0.718,5.970,0.799,62.280
0.931,-0.037,10.098,0.174,0.714,0.730,5.950,0.740,62.800
0.928,-0.036,10.095,0.155,0.702,0.702,5.534,0.783,63.400
0.914,-0.035,10.121,0.171,0.755,0.757,5.882,0.745,64.000
0.937,-0.098,10.148,0.162,0.824,0.693,6.008,0.840,64.600
0.951,-0.055,10.179,0.139,0.708,0.787,6.272,0.852,65.200
0.966,-0.056,10.135,0.150,0.661,0.684,6.168,0.872,65.800
0.909,-0.020,8.039,0.198,0.860,0.705,4.223,0.616,50.220
0.841,0.054,8.078,0.162,0.799,0.725,4.576,0.750,51.540
0.827,-0.012,8.052,0.149,0.909,0.772,4.015,0.620,52.860
0.789,0.100,8.057,0.183,0.913,0.772,4.270,0.584,54.180
0.805,0.019,8.111,0.123,0.918,0.819,4.256,0.635,55.500
0.846,0.022,8.143,0.228,0.923,0.760,4.405,0.709,56.060
0.831,0.066,8.161,0.194,0.911,0.707,4.547,0.628,56.620
0.825,0.212,8.192,0.161,0.861,0.765,3.795,0.708,57.180
0.765,0.172,8.219,0.221,0.849,0.814,4.905,0.819,57.740
0.777,0.221,8.249,0.172,0.853,0.702,4.358,0.793,58.300
0.706,0.298,8.282,0.226,0.828,0.743,4.396,0.749,58.900
0.715,0.234,8.306,0.230,0.854,0.788,4.476,0.853,59.500
0.707,0.291,8.344,0.237,0.844,0.759,4.656,0.821,60.100
0.676,0.310,8.373,0.251,0.794,0.751,4.619,0.818,60.700
0.674,0.260,8.365,0.297,0.837,0.733,4.547,0.702,61.300
0.848,0.144,8.928,0.237,0.894,0.655,5.104,0.381,
0.884,0.090,8.981,0.318,0.849,,5.522,,
0.830,0.201,9.008,0.169,0.968,0.598,5.891,0.506,
0.708,0.170,9.033,0.118,0.967,0.695,5.177,0.451,
0.759,0.004,9.067,0.124,0.919,0.696,4.860,0.589,
0.757,0.027,9.086,0.100,0.950,0.596,5.640,0.636,
0.721,0.115,9.113,0.203,0.935,0.692,6.126,0.568,
0.706,0.012,9.129,0.206,0.775,0.636,5.000,0.441,
0.805,0.181,9.182,0.180,0.851,0.753,5.077,0.561,
0.824,0.125,9.228,0.150,0.941,0.704,5.759,0.827,
0.792,0.117,9.262,0.186,0.925,0.738,6.149,0.858,
0.822,0.269,9.296,0.170,0.922,0.778,6.392,0.890,
0.843,0.247,9.339,0.141,0.920,0.749,6.425,0.841,
0.792,,,0.201,0.910,0.726,6.294,0.880,
0.919,-0.236,11.228,0.182,0.328,0.846,6.076,0.769,63.960
0.926,0.007,11.065,0.252,0.675,0.718,6.585,0.819,64.440
0.893,-0.031,10.982,0.203,0.486,0.718,6.798,0.703,64.600
0.882,,11.017,0.177,0.560,0.793,6.378,0.769,64.900
0.889,,11.025,0.095,,0.821,6.221,0.934,65.200
0.862,,10.985,0.283,,0.752,6.480,0.751,65.500
,,10.945,,,,6.180,,65.800
0.823,0.082,10.912,0.324,,0.723,6.146,0.822,66.100
0.845,-0.075,10.910,0.315,,0.688,5.947,0.841,66.300
0.853,-0.005,10.837,0.307,,0.692,6.094,0.884,66.500
0.842,-0.104,10.817,0.303,,0.695,6.106,0.867,66.900
0.844,-0.140,8.185,0.159,0.879,0.655,4.641,0.678,59.980
0.833,-0.091,8.258,0.130,0.929,0.655,4.698,0.684,60.260
0.792,-0.100,8.329,0.147,0.923,0.623,4.737,0.719,60.540
0.855,-0.140,8.345,0.165,0.896,0.607,5.069,0.699,60.820
0.885,-0.072,8.329,0.123,0.926,0.650,4.996,0.720,61.100
0.891,-0.155,8.374,0.151,0.932,0.681,4.921,0.748,61.520
0.856,-0.079,8.357,0.182,0.892,0.691,5.208,0.703,61.940
0.851,-0.085,8.441,0.135,0.900,0.722,5.402,0.755,62.360
0.898,0.355,8.460,0.185,0.897,0.725,5.252,0.736,62.780
0.857,0.200,8.477,0.173,0.858,0.767,4.905,0.813,63.200
0.914,0.056,8.500,0.126,0.917,0.778,4.857,0.814,63.500
0.883,0.143,8.526,0.160,0.874,0.755,5.630,0.859,63.800
0.898,0.267,8.543,0.203,0.907,0.763,5.297,0.945,64.100
0.877,-0.002,8.567,0.207,0.885,0.766,5.685,0.920,64.400
0.902,0.103,8.503,0.258,0.931,0.803,6.250,0.935,64.700
0.807,0.439,8.251,0.163,0.688,0.886,5.076,0.925,53.920
0.790,0.478,8.307,0.136,0.580,0.861,5.364,0.867,54.440
0.807,0.416,8.366,0.202,0.637,0.829,5.044,0.886,54.960
0.691,0.459,8.548,0.225,0.587,0.900,4.704,0.882,56.300
0.693,0.232,8.611,0.387,,0.917,4.876,,56.600
0.707,0.073,8.890,0.344,0.592,0.873,4.623,0.891,58.300
0.705,0.141,8.935,0.332,0.634,0.852,4.859,0.907,58.700
0.729,0.061,8.965,0.306,0.620,0.878,5.197,0.906,59.100
0.660,0.141,8.960,0.358,0.748,0.822,5.284,0.915,59.500
0.884,-0.229,10.032,0.234,0.937,0.654,4.710,0.641,63.160
0.836,-0.167,10.136,0.247,0.924,0.673,4.667,0.700,63.520
0.855,-0.203,10.112,0.215,0.926,0.639,5.145,0.630,63.880
0.807,-0.180,9.975,0.242,0.942,0.525,4.669,0.437,64.240
0.836,-0.002,10.029,0.222,0.934,0.563,4.967,0.564,64.860
0.851,-0.038,10.082,0.232,0.895,0.560,5.125,0.564,65.120
0.834,-0.073,10.116,0.227,0.837,0.642,5.070,0.631,65.380
0.881,-0.043,10.144,0.226,0.804,0.652,5.729,0.671,65.640
0.879,-0.077,10.185,0.228,0.808,0.608,5.881,0.656,65.900
0.917,-0.156,10.211,0.231,0.868,0.654,5.940,0.685,66.200
0.895,-0.154,10.257,0.232,0.798,0.623,5.978,0.700,66.500
0.913,-0.212,10.307,0.192,0.799,0.585,5.901,0.608,66.800
0.936,-0.194,10.336,0.212,0.789,0.575,5.970,0.698,67.100
0.928,-0.078,10.300,0.202,0.809,0.714,6.229,0.820,67.400
0.796,,9.565,0.292,0.945,0.584,5.491,0.703,64.600
0.853,0.069,9.568,0.320,0.902,0.548,4.653,0.670,64.720
0.717,0.035,9.743,0.365,0.927,0.527,4.595,0.524,64.960
0.736,0.071,9.830,0.401,0.937,0.528,5.206,0.665,65.080
0.721,0.073,9.878,0.341,0.949,0.525,5.032,0.678,65.200
0.733,0.006,9.838,0.320,0.911,0.578,5.188,0.657,65.280
0.713,-0.006,9.800,0.339,0.856,0.499,4.573,0.621,65.360
0.708,-0.004,9.772,0.409,0.921,0.499,4.983,0.655,65.440
0.759,-0.012,9.739,0.267,0.939,0.559,5.233,0.657,65.520
0.742,0.073,9.699,0.243,0.889,0.568,5.172,0.597,65.600
0.828,0.031,9.687,0.263,0.853,0.553,5.271,0.657,66.100
0.777,-0.074,9.681,0.244,0.911,0.515,5.154,0.605,66.600
